tourism_id,tourism_name,tourism_description,category,city,price,rating,tourism_location
1,Taman Nasional Gunung Leuser,"Taman Nasional Gunung Leuser adalah salah satu dari enam taman nasional yang terletak di Pulau Sumatera, Indonesia. Taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik, termasuk spesies langka seperti orangutan Sumatera, harimau Sumatera, dan gajah Sumatera.",Taman Nasional,Aceh,"25,000",4.5,"Barisan mountain range, Aceh 24653"
2,Desa Wisata Munduk,"Desa Wisata Munduk adalah sebuah desa di pegunungan Bali yang terkenal dengan keindahan alamnya. Desa ini dikelilingi oleh perkebunan kopi, kakao, dan rempah-rempah, serta memiliki udara segar dan pemandangan yang menakjubkan. Di Desa Wisata Munduk, pengunjung dapat menikmati keindahan alam, trekking, melihat air terjun, dan menjelajahi kehidupan desa yang tenang.",Desa Wisata,Bali,"10,000",4.5,"Munduk, Banjar, Kabupaten Buleleng, Bali"
3,Desa Wisata Penglipuran,"Desa Wisata Penglipuran adalah sebuah desa wisata yang terletak di Kabupaten Bangli, Bali, Indonesia. Desa ini terkenal karena keindahan arsitektur tradisional Bali dan kelestariannya yang terjaga dengan baik. Penglipuran sering dijuluki sebagai ""desa adat Bali yang terbersih"" karena kepedulian warganya terhadap kebersihan dan kerapian desa.",Desa Wisata,Bali,"25,000",4.8,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611"
4,Taman Nasional Bali Barat,"Taman Nasional Bali Barat adalah kawasan konservasi alam yang terletak di pesisir barat Pulau Bali. Taman nasional ini terkenal karena keindahan alamnya yang meliputi hutan tropis, pegunungan, dan ekosistem pesisir. Kawasan ini juga menjadi rumah bagi berbagai spesies satwa liar yang dilindungi, seperti banteng Bali, kijang, dan burung Jalak Bali.",Taman Nasional,Bali,"15,000",4.5,"Sumber Klampok, Bali"
5,Bukit Jamur,"Bukit Jamur Ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di Kecamatan Ciwidey, Kabupaten Bandung, Provinsi Jawa barat. Bukit Jamur Ciwidey memang memiliki khas wisata Ciwidey, yaitu objek wisata di tengah hamparan kebun teh, dengan udara yang sangat sejuk.Suasana saat kabut turun di area perkebunan membuat suasana menjadi romatis. Bukit Jamur Ciwidey suasananya cocok juga bagi jomblowan â€“ jomblowati, banyak spot dengan latar alam yang indah, yang dimungkinkan mampu melupakan sang mantan.",Cagar Alam,Bandung,"12,000",4.2,"Sugihmukti, Kec. Pasirjambu, Kabupaten Bandung, Jawa Barat 40972"
6,Bukit Moko,"Bandung sebagai destinasi wisata tak pernah ada habisnya. Didukung dengan lanskap yang cantik, kawasan Bandung mampu menarik perhatian wisatawan. Baik dari segi alam, budaya, kuliner, dan seni kreatif secara bersamaan. Dari sekian banyak tempat wisata yang tersedia, Bukit Moko Bandung menjadi salah satu yang cukup populer namanya dalam beberapa tahun belakangan. Berada di ketinggian sekitar 1500 mdpl, Bukit Moko memiliki cuaca yang sejuk. Bagi pengunjung yang tidak biasa di cuaca ini, ada baiknya membawa jaket tebal apalagi jika datang saat musim penghujan.",Cagar Alam,Bandung,"25,000",4.5,"Cimenyan, Kabupaten Bandung, Jawa Barat 40197 Indonesia"
7,Curug Bugbrug,"Curug Bugbrug Sesuai dengan namanya kata Bugbrug dalam bahasa sunda adalah berarti bertumpuk atau tumpah tindih. Jadi apabila Anda ditanya kenapa air terjun di bandung ini dinamai Curug Bugbrug Maka jawabannya ialah karena air yang jatuh dari atas ke bawah itu seperti terlihat bertumpuk-tumpuk. Dan jatuhnya tersebut terdengar suara di dasar curug seperti â€ brugâ€¦brugâ€¦brug â€ begitu saking kerasnya. Curug yang berada di ketinggian 1.050 meter di atas permukaan air laut, memiliki ketinggian dari 50 meter tingginya dan lebar curug sekitar 2 meter. Tempat ini menjadi pusat buruan wisatawan yang berlibur ke bandung.",Cagar Alam,Bandung,"7,500",4.3,"Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat, Indonesia."
8,Curug Cilengkrang,"Curug Cilengkrang bisa menjadi pilihan tujuan objek wisata alam di Bandung. Menawarkan area hutan sejuk serta area air terjun yang menyegarkan. Meski tidak besar, kawasan air terjun cukup bisa untuk menenangkan dan kembali menyegarkan wisatawan. Seolah bertolak belakang dari hingar bingar kota Bandung. Curug Cilengkrang menawarkan wisata alam yang tenang dan begitu hijau. Air terjun yang mempesona, serta hutan dengan pepohonan yang begitu asri. Dimana, tempat ini juga menjadi habitat hidup berbagai satwa liar yang masih terjaga.",Cagar Alam,Bandung,"7,500",4,"Cilengkrang, Kabupaten Bandung, Jawa Barat 40615"
9,Curug Cimahi,"Curug Cimahi adalah air terjun yang terletak di Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat. Dengan ketinggian sekitar 87 meter, menjadikan air terjun ini sebagai salah satu curug tertinggi di wilayah Bandung dan sekitarnya. Nama Cimahi berasal dari nama sungai yang mengalir di atasnya yaitu Sungai Cimahi yang berhulu di Situ (danau) Lembang dan mengalir ke Kota Cimahi. Destinasi wisata ini berjarak kurang lebih 10 kilometer dari Kota Cimahi ke arah Lembang atau 20 kilometer dari Kota Bandung.",Cagar Alam,Bandung,"20,000",4.1,"5H78+Q6J Villa Katumiri, Jl. Cihanjuang, Padaasih, Kec. Cisarua, Kota Cimahi, Jawa Barat 40551"
10,Curug Cipanas,"Siapa bilang berendam air panas harus merogoh kocek dalam? Kabupaten Bandung Barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli tanpa harus membayar mahal. Adalah Curug Cipanas Nagrak, objek wisata alam yang menawarkan pemandian air panas alami. Pemandian air panas ini bahkan tidak hanya sekadar kolam, melainkan berupa air terjun alami di tengah kawasan perkebunan. Mata airnya mengalir deras menjadi sebuah air terjun kecil di tengah lahan perbukitan hijau. Pengunjung akan merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka.",Cagar Alam,Bandung,"25,000",4,"Jl. Nagrak Tengah, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
